GRMZM2G031545	GRMZM2G080549	GRMZM2G080567	GRMZM2G089736	GRMZM2G094765	GRMZM2G111224	GRMZM2G114461	GRMZM2G127031	GRMZM2G127035	GRMZM2G326788	GRMZM2G377502	GRMZM5G898768
10343264_LMAD26_Hi27_AAGCTC	854.20151	0	137.68957	90.33137	0	39.46516	2.63101	0	0	0	0	15.78606
10344827_LMAN26_Hi27_GAGTCC	832.10435	0	149.15078	109.90057	0	28.26015	2.35501	1.57001	0	0	0	14.91508
10343927_LMAD26_I137TN_CCGCAA	1019.83154	0	15.0608	78.53133	0	35.50046	1.07577	2.15154	0	0	0	27.97006
10344827_LMAN26_I137TN_ACATTA	1060.44114	1.11861	24.60939	148.77497	0	17.89774	0	1.11861	1.11861	0	0	34.67687
10343262_LMAN8_I205_CATCTA	1206.37505	0	44.9023	142.19061	0	49.39253	1.49674	10.4772	0	0	0	28.43812
10344823_LMAD8_I29_ACAGAT	746.37198	4.1542	34.61837	22.15575	0	30.46416	0	2.76947	0	0	0	26.30996
10344826_LMAN8_I29_ACGTCT	1008.19996	0	38.28607	12.76202	0	10.20962	0	7.65721	0	0	0	28.07645
10344823_LMAD8_IA2132_ACACGC	966.77989	6.63693	39.8216	221.2311	0	28.76004	1.10616	15.48618	0	0	0	17.69849
10344826_LMAN8_IA2132_AGACCA	1083.18925	0	25.10704	204.443	0	31.0849	1.19557	9.56458	0	0	0	11.95573
10343262_LMAN8_IDS28_CAGGAC	1187.28998	1.22654	31.89002	30.66348	0	18.39809	2.45308	4.90616	0	0	0	36.79618
10343927_LMAN8_IDS69_ACATTA	845.06811	0.7387	22.89957	324.2875	0	51.70871	1.47739	1.47739	2.21609	0	0	23.63827
10344826_LMAD8_IDS69_CAGGAC	1082.55159	0	11.02145	117.56216	0	24.49212	1.22461	3.67382	0	0	0	37.96278
10343262_LMAN8_IDS91_CGCCTG	910.45541	1.18395	21.31105	103.00341	0	24.86289	2.36789	3.55184	0	0	0	31.96657
10343264_LMAN26_IllHy_GCCACA	1518.70605	0.62472	100.5807	138.06419	0	33.11042	1.87417	1.24945	0.62472	0	0	23.11482
10343927_LMAD26_IllHy_TCTTAA	1185.7901	2.69294	107.7175	135.54452	0	32.31525	0.89765	0	0	0	0	20.64585
10344823_LMAD8_Ia5125_ATACTG	1022.2893	0	38.29596	37.23218	0	35.10463	1.06378	6.38266	2.12755	0	0	9.57399
10344826_LMAN8_Ia5125_TCGAGG	1337.98391	0	72.59408	35.04542	0	27.53568	2.50324	3.75487	0	0	0	28.78731
10343262_LMAN8_Il101T_AAGACA	972.97908	0	26.29673	168.49387	0	20.45301	0.97395	1.94791	0	0	0	16.5572
10344823_LMAD8_Il14H_GAGTCC	983.40708	1.02545	42.04347	135.35947	0	20.50901	3.07635	17.43266	2.0509	0	0	18.45811
10344826_LMAN8_Il14H_ATGAAC	1260.14366	0	43.9585	182.49438	0	30.63774	3.99623	5.3283	0	0	0	15.98491
10343262_LMAN8_K148_ATGGCG	1351.73071	1.62957	4.88872	234.6585	0	22.81402	4.88872	8.96265	0	0	0	43.18368
10344826_LMAD8_K148_TGCTAT	967.85993	1.80571	28.89134	220.29648	0	55.97697	3.61142	5.41713	0	0	0	54.17126
10343927_LMAD26_K4_ACCGTG	971.42125	0.74381	99.67109	55.78606	0	72.14997	2.97526	0	0	0	0	21.57061
10344827_LMAN26_K4_CAATGC	1148.39431	2.22701	72.74896	17.81607	0	17.07374	1.48467	1.48467	0.74234	0	0	20.78542
10343262_LMAN8_K55_AGATAG	1150.96643	0	84.16574	277.74693	0	47.34323	4.20829	2.10414	0	0	0	14.729
10344826_LMAD8_K55_AAGACA	986.0612	2.49005	46.06599	161.85348	0	85.90685	2.49005	0	1.24503	0	0	17.43037
10343927_LMAD26_K64_CCTGCT	1043.07868	3.6218	28.97441	141.25024	0	42.55616	1.8109	0.90545	0.90545	0	0	16.2981
10344827_LMAN26_K64_ACCTAC	1332.63266	2.21	41.99008	127.07525	0	22.10004	3.31501	1.105	1.105	0	0	16.57503
10343262_LMAN8_Ky226_ATTGGT	1246.87903	23.52602	7.84201	15.68401	0	15.68401	0	7.84201	0	0	0	7.84201
10344826_LMAD8_Ky226_CATCTA	1067.40714	6.90134	28.75558	23.00446	0	44.85871	4.60089	5.75112	0	0	0	23.00446
10343927_LMAD26_Ky228_ATACTG	748.58533	2.88658	131.3392	139.51783	0	60.61809	1.44329	0.4811	0.4811	0	0	24.0548
10344827_LMAN26_Ky228_GGAGGT	970.43645	1.92738	54.93036	80.95001	0	34.69286	0.96369	2.89107	0	0	0	38.54762
10343264_LMAD26_Ki11_TCTTAA	953.4437	4.47626	74.30594	125.33532	0	34.01959	0	1.7905	0	0	0	9.84778
10344827_LMAN26_Ki11_GCCACA	966.09567	4.95434	89.17806	150.28155	0	13.21156	5.78006	2.47717	0.82572	0	0	29.72602
10343264_LMAD26_Ki14_GGCCAA	918.27042	1.54331	166.67766	74.07896	1.54331	40.1261	1.54331	16.97643	3.08662	0	0	6.17325
10344827_LMAN26_Ki14_ATGGCG	886.93452	0.90319	78.5777	119.22134	0	25.28938	2.70958	21.67661	0	0	0	29.80534
10343927_LMAD26_Ki21_ACGTCT	827.71491	3.10587	152.18773	128.11722	0	38.8234	2.3294	4.65881	10.09408	0	0	25.62344
10344827_LMAN26_Ki21_AAGACA	760.96801	1.03674	127.51916	181.4297	0	24.88179	2.07348	4.14696	1.03674	0	0	29.02875
10343264_LMAD26_Ki44_TTCGAG	865.21225	1.56741	147.33687	136.36497	0	61.12913	1.56741	10.97189	6.26965	0	0	26.64603
10344827_LMAN26_Ki44_ATATCC	1009.7386	1.21072	159.81474	187.66125	0	14.52861	3.63215	21.79292	10.89646	0	0	9.68574
10343927_LMAD26_Ky21_ATTGGT	2191.52476	0.52142	59.9632	20.85677	0	34.93508	1.56426	0.52142	0.52142	0	0	19.81393
10344827_LMAN26_Ky21_TCTTAA	1795.99227	0	74.37203	30.73224	0	19.66864	0	3.68787	0	0	0	39.95192
10343927_LMAN8_L317_ACAACG	1161.07649	0	9.09935	96.45306	0	41.85699	1.81987	9.09935	1.81987	0	0	34.57751
10344826_LMAD8_L317_CGCGGA	1000.3884	0	29.76362	195.11708	0	67.79492	6.61414	13.22828	3.30707	0	0	36.37776
10343264_LMAD26_L578_CGGTTA	804.29037	0	103.7794	198.91052	0	17.29657	0	0	17.29657	0	0	25.94485
10344827_LMAN26_L578_CTAGTC	615.50963	0	100.21303	201.61202	0	33.79966	0.59298	2.96488	7.11572	0	0	42.69431
10343262_LMAN8_M14_AACCGA	1240.94675	0	51.87904	244.86909	0	18.67646	2.07516	0	0	0	0	8.30065
10343927_LMAD26_M162W_GAGTCC	955.75766	0	54.11876	138.87077	0	37.78102	2.04222	1.02111	1.02111	0	0	19.40106
10344827_LMAN26_M162W_TAATCG	1107.07121	2.73351	47.38083	103.87335	0	12.75638	4.55585	4.55585	0.91117	0	0	36.44679
10343927_LMAD26_M37W_CGTCGC	1188.91252	3.196	27.16601	67.11603	0	51.13602	0	0	9.588	0	0	7.99
10344827_LMAN26_M37W_TTGGTA	1556.83236	0.99989	42.99537	153.98342	0	13.99849	4.99946	0.99989	0.99989	0	0	10.99882
10344823_LMAD8_MEF156-55-2_AATCCG	847.58351	0	35.04557	62.30323	0	45.42944	0	3.89395	1.29798	0	0	32.4496
10344826_LMAN8_MEF156-55-2_ACACGC	1401.19302	0	62.99938	52.13741	0	23.89632	0	4.34478	1.0862	0	0	29.3273
10343262_LMAN8_Mo1W_GGCTGC	1003.9096	3.64396	30.06263	19.13076	0	31.88461	5.46593	15.48681	2.73297	0	0	35.52856
10344826_LMAD8_Mo1W_ACATTA	910.9772	3.44632	27.57056	48.24848	0	62.03376	1.14877	16.08283	2.29755	0	0	25.27301
10344823_LMAD8_MS1334_GGTATA	884.73298	2.12676	41.47186	143.55643	0	36.15495	2.12676	7.44367	0	0	0	18.07748
10344826_LMAN8_MS1334_ACTCTT	1043.43204	0.99374	33.78732	173.90534	0	28.8186	1.98749	3.97498	0	0	0	17.88741
10343262_LMAN8_MS153_ACAACG	1289.69376	0	49.49163	58.22545	0	20.37891	5.82255	5.82255	0	0	0	11.64509
10344823_LMAD8_MS153_GACATC	866.58997	0	28.54381	74.2139	0	57.08761	2.2835	7.99227	0	0	0	17.12628
10343262_LMAN8_Mo17_AAGCTC	831.30476	2.18477	32.77154	101.59178	0	22.94008	5.46192	2.18477	0	0	0	26.21723
10343264_LMAD26_Mo18W_CTCTCG	1022.04126	0	165.64117	111.60221	0	31.71852	0	1.17476	1.17476	0	0	28.19424
10344827_LMAN26_Mo18W_TTCCGC	1170.3077	0	95.58805	211.84378	0	18.08422	3.22933	3.87519	0	0	0	26.48047
10343262_LMAN8_Mo44_CCGCAA	1295.19598	1.11176	20.01161	122.29318	0	34.46444	2.22351	5.55878	0	0	0	14.45283
10343262_LMAN8_Mo45_ATATCC	1300.50873	4.19181	25.15085	155.09693	0	26.19881	2.0959	4.19181	0	0	0	13.62338
10344826_LMAD8_Mo45_AAGCTC	1133.43843	0	38.81638	138.18633	0	51.23763	6.21062	3.10531	0	0	0	29.50045
10343262_LMAN8_Mo46_CTCATA	1009.88968	0	21.58202	107.9101	0	14.88415	0	5.95366	0	0	0	31.25672
10343262_LMAN8_Mo47_GAAGTG	959.21098	0	8.90908	198.96946	0	26.72724	2.96969	2.96969	0	0	0	29.69693
10344823_LMAD8_Mo47_ATTGGT	917.29547	0	11.68033	172.09024	0	52.95084	0.77869	1.55738	0	0	0	29.59018
10343927_LMAD26_Mp339_CTCCAT	981.10643	1.82023	70.98915	220.24838	0	40.95528	2.73035	19.11246	0	0	0	22.75293
10344827_LMAN26_Mp339_GGTGAG	1044.07014	2.54444	57.67406	157.75552	0	25.44444	1.6963	18.65926	0.84815	0	0	16.96296
10344823_LMAD8_Mt42_GGCCAA	723.69535	0	55.58503	186.37335	0	63.21435	2.17981	0	0	0	0	34.87688
10344826_LMAN8_Mt42_CTAGTC	1016.71374	0	45.90739	194.43131	0	27.00435	1.35022	0	1.35022	0	0	33.75544
10344823_LMAD8_N192_GATTGT	740.23713	3.94267	58.15445	104.48087	0	44.35509	2.95701	1.97134	0.98567	0	0	24.64172
10344826_LMAN8_N192_TTCCGC	1254.51888	0	62.58988	68.03248	0	28.57364	1.36065	14.96714	4.08195	0	0	10.8852
10343264_LMAN26_N28Ht_GAGTCC	1395.0131	0.99929	94.93284	143.8982	0	23.98303	0.99929	7.99434	0	0	0	25.98162
10343927_LMAD26_N28Ht_AAGCTC	1043.12313	4.70405	58.80063	99.96107	0	45.86449	3.52804	7.05608	0	0	0	21.16823
10343927_LMAD26_NC222_GCATGG	990.65947	0.56934	34.73002	169.66467	0	29.03657	5.1241	0.56934	1.70803	0	0	9.10951
10344827_LMAN26_NC222_CCAATT	748.19053	0.61529	52.91479	223.34964	0	34.45614	3.07644	1.23058	0	0	0	10.4599
10343927_LMAD26_NC230_ACTCTT	1195.80974	0.91144	102.99276	29.16609	0	57.42074	0.91144	0	0.91144	0	0	40.10338
10344827_LMAN26_NC230_CAGCGT	1506.54797	3.858	80.05345	27.00598	0	32.79298	0	8.68049	1.929	0	0	37.61547
10343927_LMAD26_NC232_TCAGGA	703.0651	0	15.28402	61.1361	0	61.1361	0	15.28402	0	0	0	15.28402
10344827_LMAN26_NC232_TGCTAT	1479.62985	4.9064	49.76491	35.74662	0	34.3448	0	16.82194	2.80366	0	0	35.74662
10343264_LMAD26_NC236_GGTGAG	1157.20146	0	90.46143	29.3706	0	88.11179	0	0	1.17482	0	0	17.62236
10344827_LMAN26_NC236_TGCACG	1294.43287	0	67.47695	55.66849	0	39.92386	1.12462	2.24923	0.56231	0	0	9.55923
10343264_LMAD26_NC238_TGGCGA	1146.51067	2.30532	44.56945	19.21097	0	57.63291	3.07376	1.53688	0	0	0	16.13721
10344827_LMAN26_NC238_GTCAGG	799.48605	0.88439	19.45652	19.45652	0	29.18478	1.76877	13.26581	0	0	0	35.37549
10343264_LMAN26_NC250_GATTGT	1366.16689	1.33807	75.60081	149.19452	0	10.03551	3.34517	6.0213	0	0	0	4.0142
10343927_LMAD26_NC250_CAGCGT	848.41506	0	42.88437	169.2194	0	34.77111	1.15904	4.63615	0	0	0	13.90844
10343927_LMAD26_NC258_TGTGCA	862.11379	2.65266	35.36877	78.69552	0	30.94767	7.07375	0	0	0	0	26.52658
10344827_LMAN26_NC258_CAACAG	937.67595	2.18572	30.60015	77.59323	0	16.39294	2.18572	1.09286	0	0	0	31.69301
10343262_LMAN8_NC260_CCGACC	1108.95589	1.18226	26.00963	160.78678	0	34.28542	3.54677	3.54677	0	0	0	11.82256
10343264_LMAN26_NC262_ACAGAT	1224.07386	0	92.53609	198.0597	0	10.55236	0.81172	2.43516	0	0	0	55.19696
10343927_LMAD26_NC262_AAGACA	784.86807	0	41.01448	281.5085	0	42.87878	0	11.18577	1.86429	0	0	41.01448
10343262_LMAN8_NC264_ACCGTG	1599.75699	0	38.7393	27.2936	0	20.25009	1.76088	3.52175	0	0	0	21.13053
10344826_LMAD8_NC264_AACGCC	1646.87213	1.59426	36.66801	20.7254	0	43.04506	1.59426	1.59426	1.59426	0	0	9.56557
10343262_LMAN8_NC290A_GCTCGA	1054.24223	0	38.86607	127.00877	0	16.65689	1.38807	9.02248	0.69404	0	0	46.50048
10344826_LMAD8_NC290A_CAGCGT	734.02266	0	26.41727	252.85099	0	50.94759	5.66084	5.66084	3.7739	0	0	33.96506
10343262_LMAN8_NC294_TCAGGA	1283.50533	1.45357	64.68402	146.81092	0	7.99465	3.63393	15.26252	0.72679	0	0	7.99465
10344826_LMAD8_NC294_CGATCT	794.34037	3.53564	76.60553	146.13977	0	44.78477	1.17855	4.71419	1.17855	0	0	4.71419
10343264_LMAD26_NC296_GCGCTG	1467.48614	2.48516	140.41146	111.83214	0	13.66837	0	0	2.48516	0	0	14.91095
10344827_LMAN26_NC296_CTCATA	1659.67783	2.48902	124.45095	181.20058	0	13.93851	1.99122	0.99561	2.48902	0	0	8.46266
10343927_LMAD26_NC296A_GGTATA	1844.72446	2.35798	146.19461	94.3191	0	34.58367	3.92996	0.78599	8.64592	0	0	6.28794
10344827_LMAN26_NC296A_TGGATT	2211.52978	1.8358	111.98394	171.95348	0	12.85062	1.8358	0.61193	4.28354	0	0	6.73127
10343264_LMAD26_NC300_ACATTA	815.92865	0	76.83633	120.7428	0	16.46493	9.14718	0	0	0	0	7.31775
10344827_LMAN26_NC300_AAGTGG	894.38166	0.70758	101.89158	161.32834	0	16.98193	1.41516	0.70758	0.70758	0	0	7.0758
10343927_LMAD26_NC302_ATGAAC	1060.12651	3.15139	94.5416	158.19962	0	37.18636	1.89083	0.63028	0.63028	0	0	16.38721
10344827_LMAN26_NC302_CAGGAC	1541.89159	0.52624	88.4088	182.08003	0	15.26104	0.52624	0.52624	0	0	0	22.62844
10343264_LMAD26_NC304_TTGGTA	1526.93942	3.3633	22.70229	162.27935	0	26.0656	2.52248	3.3633	1.68165	0	1.68165	15.97569
10344827_LMAN26_NC304_TATGTC	1396.55052	1.74496	13.95969	148.90335	0	23.8478	2.90827	16.86796	0	0	0	30.24599
10343264_LMAN26_NC306_AGATAG	1367.6898	3.04834	112.78868	125.99817	0	21.3384	7.1128	8.12891	0	0	0	40.64457
10343927_LMAD26_NC306_CGCCTG	1023.40105	2.13209	84.21738	90.61363	0	42.64171	0	4.26417	1.06604	0	0	13.85856
10343262_LMAN8_NC310_TTCGAG	856.31587	1.73695	51.24	93.79525	0	23.44881	2.60542	10.42169	0	0	0	15.63254
10343264_LMAN26_NC314_ACGTCT	1465.91727	2.00719	73.59694	177.97079	0	6.02157	2.00719	19.40283	0	0	0	8.02876
10343927_LMAD26_NC314_CACTAA	997.83751	3.86011	79.13218	151.50918	0	31.84588	2.89508	12.54535	0	0	0	7.72021
10343927_LMAD26_NC318_TGACAC	2292.77434	5.57853	85.07253	29.28726	0	46.02284	0	1.39463	0	0	0	26.498
10344827_LMAN26_NC318_CGGTTA	1986.00004	4.07803	58.11191	57.0924	0	14.2731	4.07803	1.01951	0	0	0	27.52669
10343927_LMAD26_NC320_GTGCCA	1534.62199	0.76084	66.95426	30.43375	0	36.5205	3.04338	0	0	0	0	18.26025
10344827_LMAN26_NC320_TGGCGA	1650.3523	2.60308	53.36313	23.42771	0	19.5231	1.30154	0	0	0	0	16.92002
10343262_LMAN8_NC324_CGTCGC	892.45602	0	62.43519	123.03406	0	13.77247	2.75449	0.91816	0	0	0	5.50899
10344826_LMAD8_NC324_GAACCT	746.75655	1.64484	78.95223	134.87673	0	34.5416	0	19.73806	0	0	0	13.15871
10343264_LMAN26_NC326_ATACTG	1293.43759	0	112.05285	154.55565	0	34.77502	2.89792	7.72778	0.96597	0	0	21.2514
10343927_LMAD26_NC326_CATCTA	844.59728	2.3825	65.51883	85.7701	0	41.6938	1.19125	9.53001	0	0	0	20.25127
10343262_LMAN8_NC328_TGACAC	1064.53966	1.8043	52.32483	77.58509	0	17.14089	5.41291	15.33659	0	0	0	21.65165
10344826_LMAD8_NC328_AGTTGA	982.2456	0	64.76345	91.74821	0	53.96954	3.59797	5.39695	0	0	0	28.78375
10343264_LMAD26_NC33_GGAGGT	1190.09734	1.22312	89.28788	19.56995	0	75.83354	1.22312	0	46.47862	0	0	30.57804
10344827_LMAN26_NC33_AGACCA	1176.27113	2.25124	78.79328	30.9545	0	19.69832	1.12562	2.25124	3.93966	0	0	27.01484
10343264_LMAD26_NC336_AAGACA	1347.65276	1.42609	112.66092	95.54787	0	22.8174	1.42609	0	1.42609	0	0	5.70435
10344827_LMAN26_NC336_ACACGC	1394.47806	1.74237	124.28917	182.94902	0	19.74688	1.16158	0	0	0	0	7.55028
10343264_LMAD26_NC338_ACCTAC	896.69932	0	31.48944	14.99497	0	32.98894	0	4.49849	0	0	0	20.99296
10344827_LMAN26_NC338_GGCTGC	1283.60695	0	44.06624	27.71909	0	18.47939	0.71075	8.52895	0	0	0	22.74387
10343927_LMAN8_NC340_CGGTTA	1380.96655	0.8669	69.35174	246.19868	0	28.60759	4.33448	3.46759	0	0	0	7.80207
10344826_LMAD8_NC340_GGCCAA	1313.57124	0	49.16437	113.45625	0	35.2975	2.52125	1.26062	1.26062	0	0	5.0425
10343264_LMAN26_NC342_AGTACT	1022.90726	0	70.54533	186.73763	0	18.67376	6.22459	3.11229	0	0	0	67.43303
10343927_LMAD26_NC342_CGCAAC	845.63577	0	39.9328	194.96602	0	34.06033	1.17449	7.04696	1.17449	0	0	54.02673
10343927_LMAD26_NC344_AATGAA	927.96771	5.24869	20.99474	69.28266	0	43.03923	3.14921	4.19895	0	0	0	36.7408
10344827_LMAN26_NC344_AGAATC	1259.02834	1.0706	44.9653	54.60072	0	11.77663	5.35301	1.0706	0	0	0	24.62385
10343927_LMAD26_NC346_GATTGT	1239.01243	4.7733	206.61572	147.97232	0	31.3674	1.3638	2.7276	8.8647	0	0	9.5466
10344827_LMAN26_NC346_GCGAAT	1612.50723	0.84248	149.96149	228.31215	0	15.16464	0	0	2.52744	0	0	9.26728
10343927_LMAD26_NC348_TAGGCT	1256.35464	2.29366	35.5518	174.31849	0	36.69863	1.14683	0	1.72025	0	0	4.01391
10344827_LMAN26_NC348_CGCCTG	1329.17924	1.67087	61.82229	203.84647	0	17.54416	4.17718	0	0.83544	0	0	16.70873
10343927_LMAD26_NC350_GCTCGA	1098.55992	3.88184	0	74.40188	0	25.87891	1.94092	0	1.29395	0	0	24.58497
10344827_LMAN26_NC350_GATCAC	1168.71655	2.50439	1.6696	141.91558	0	15.86115	0.8348	0	1.6696	0	0	15.02636
10343264_LMAD26_NC352_ACAACG	1536.34172	7.15909	107.38642	123.13643	0	21.47728	0	0	1.43182	0	0	10.02273
10344827_LMAN26_NC352_GGCCAA	1578.92861	0.74268	144.82177	177.4995	0	18.56689	2.9707	2.22803	0.74268	0	0	8.91211
10343927_LMAD26_NC354_ACACGC	878.26845	2.26943	80.94292	53.70978	0	25.72018	2.26943	3.0259	0	0	0	26.47665
10344827_LMAN26_NC354_CAAGCA	1397.95317	4.00273	242.16512	201.13714	0	21.01433	0	4.00273	0	0	0	38.02593
10343927_LMAD26_NC356_ACCAGT	1231.8231	4.04318	3.36932	170.48755	0	37.73638	3.36932	0.67386	1.34773	0	0	8.76023
10344827_LMAN26_NC356_AACCGA	1252.81136	5.88174	29.40872	252.91497	0	21.17428	3.52905	1.17635	3.52905	0	0	18.82158
10343262_LMAN8_NC358_AGTACT	1249.61679	0	17.81773	217.3763	0	19.00558	2.3757	1.18785	0	0	0	15.44203
10344826_LMAD8_NC358_GCAGCC	1282.75612	3.69138	14.76554	145.80969	0	44.29661	0	5.53708	1.84569	0	0	11.07415
10343264_LMAN26_NC360_ATGGCG	1396.44789	0	37.90078	109.78158	0	41.16809	6.53462	0	0	0	0	29.40578
10343927_LMAD26_NC360_GGCCAA	1156.70008	2.18658	24.05236	55.75775	0	28.42552	3.27987	0	0	0	0	19.67921
10343262_LMAN8_NC362_TATGTC	909.13672	0	28.11763	216.60989	0	31.24181	2.08279	1.04139	2.08279	0	0	28.11763
10343262_LMAN8_NC364_GATCAC	995.91322	1.45601	20.38419	66.97662	0	26.20824	7.28007	0	0	0	0	29.12027
10343264_LMAD26_NC366_TAATCG	761.78451	0	31.41379	83.02217	0	42.63301	0	1.12192	0	0	0	49.36453
10344827_LMAN26_NC366_GTAGAA	1007.91105	2.49637	74.26713	150.40654	0	17.47462	1.87228	3.12047	1.24819	0	0	46.80701
10343262_LMAN8_NC368_GATTGT	1195.0189	0	55.47079	160.24895	0	23.28404	2.05447	4.10895	0.68482	0	0	8.90272
10344826_LMAD8_NC368_CAACAG	694.30288	0	68.13253	129.77624	0	37.31067	0	4.86661	0	0	0	8.11101
10344823_LMAD8_ND246_CCGCAA	1017.51901	4.2574	43.63837	95.79154	0	30.86616	1.06435	0	0	0	0	17.02961
10344826_LMAN8_ND246_CGTCGC	966.54881	7.0551	63.49591	211.65302	0	56.44081	7.0551	0	0	0	0	28.2204
10343927_LMAD26_Oh7B_GTAGAA	1312.64254	1.77865	86.70911	140.06856	0	64.03134	0.44466	3.11263	0	0	0	20.45446
10344827_LMAN26_Oh7B_GTTACC	1633.88529	1.73265	36.38557	150.74021	0	26.85601	0.86632	5.19794	0.86632	0	0	36.38557
10343262_LMAN8_Oh40B_AAGTGG	914.53898	2.55458	30.65494	29.37765	0	25.54578	6.38645	1.27729	0	0	0	33.20952
10343262_LMAN8_Oh43E_TGCACG	949.88275	1.25979	45.35249	17.63708	0	26.45562	3.77937	0	1.25979	0	0	25.19583
10343262_LMAN8_Oh603_AGACCA	1134.64711	3.52813	74.09076	201.80912	0	19.75754	2.82251	4.23376	0.70563	0	0	40.2207
10344826_LMAD8_Oh603_CACACT	1152.75221	0	32.93578	85.63302	0	48.30581	2.19572	2.19572	0	0	0	28.54434
10343264_LMAN26_Os420_GTCAGG	1635.30496	0	35.05578	221.70415	0	49.26759	1.89491	0	0	0	0	29.37106
10343927_LMAD26_Os420_CAATGC	1245.99292	0	23.03981	149.29797	0	39.62847	2.76478	0.92159	0	0	0	29.49096
10344823_LMAD8_P39_GTGCCA	943.96095	1.2025	27.65745	127.46479	0	31.26495	1.2025	7.21499	1.2025	0	0	21.64496
10344826_LMAN8_P39_ATAAGA	1156.99242	0	43.03911	117.72461	0	22.78541	3.79757	1.26586	0	0	0	26.58298
10343262_LMAN8_Pa762_CAATGC	1108.52996	1.81726	25.44167	78.14228	0	34.52798	3.63452	10.90357	1.81726	0	0	27.25893
10343262_LMAN8_Pa875_ACTCTT	1112.3237	0.79679	81.27293	39.83967	0	24.7006	3.18717	3.98397	0	0	0	22.31022
10344826_LMAD8_Pa875_GCGAAT	950.10601	0.84006	84.8459	69.72484	0	34.44239	3.36023	0.84006	1.68012	0	0	18.48128
10343927_LMAD26_Pa880_TCGTTC	1177.66734	0	18.38252	186.19715	0	47.43876	2.37194	5.92985	0	0	0	18.97551
10344827_LMAN26_Pa880_GCGCTG	1444.27793	0.85663	24.84227	179.89227	0	31.6953	1.71326	13.70608	0.85663	0	0	17.1326
10343927_LMAN8_Pa91_AGTTGA	1502.67836	0	14.49529	198.10229	0	47.10969	2.41588	4.83176	1.20794	0	0	21.74293
10344826_LMAD8_Pa91_CCAATT	1337.92006	0	20.84752	141.02732	0	46.60033	3.67897	2.45265	0	0	0	19.62119
10344823_LMAD8_R168_ACTCTT	695.79445	1.08379	32.51376	126.80366	0	52.02202	2.16758	3.25138	0	0	0	21.67584
10344826_LMAN8_R168_AGTACT	1104.23633	0	30.45391	173.7001	0	33.83768	2.25585	3.38377	1.12792	0	0	32.70976
10343262_LMAN8_R177_GTTACC	980.36715	3.55635	36.74895	138.69765	0	26.0799	3.55635	2.3709	1.18545	0	0	15.41085
10343262_LMAN8_R229_GTAGAA	1034.60718	3.42869	81.43139	105.43222	0	34.2869	3.42869	12.85759	0	0	0	18.85779
10344826_LMAD8_R229_TGGATT	1054.31251	0	66.41339	201.31558	0	50.84775	3.11313	7.26396	1.03771	0	0	24.90502
10343264_LMAN26_R4_GCTCGA	1333.79217	2.04256	24.51073	214.46888	0	42.89378	6.12768	4.08512	0	0	0	61.27682
10343927_LMAD26_R4_CAGGAC	1080.81717	2.66704	34.00474	110.01532	0	70.67651	4.00056	0.66676	1.33352	0	0	38.67205
10343262_LMAN8_SA24_CCTGCT	1137.86216	0	18.29641	124.58981	0	25.26646	1.74251	8.71257	1.74251	0	0	28.75149
10344826_LMAD8_SA24_AACAAG	1024.39987	0	36.80479	139.55148	0	23.00299	4.6006	13.80179	0	0	0	19.93593
10343264_LMAD26_SC213R_CGCAAC	722.93463	0.74453	64.02923	155.60591	0	29.78104	2.9781	0.74453	1.48905	0	0	17.86862
10344827_LMAN26_SC213R_AGTACT	861.28662	1.21737	49.91202	235.56037	0	23.12996	6.69551	2.43473	0.60868	0	0	44.43387
10343927_LMAD26_SC357_GACATC	683.70974	0	38.28237	167.90514	0	67.16206	1.34324	3.3581	0	0	0	6.71621
10344827_LMAN26_SC357_CGCAAC	933.05245	0	127.16217	165.31083	0	28.61149	2.38429	6.35811	0	0	0	10.33193
10343264_LMAD26_SC55_CGATCT	1033.5996	1.67656	50.29682	266.57313	0	19.28045	3.35312	1.67656	0	0	0	20.11873
10344827_LMAN26_SC55_ACCGTG	947.09328	0	67.53042	167.57548	0	15.00676	3.33484	0	0	0	0	25.84498
10343262_LMAN8_SD40_CAGATG	1280.23377	0	28.4125	35.09779	0	16.71323	0	0	1.67132	0	0	10.02794
10344823_LMAD8_SD44_GTGTAG	774.97346	1.12315	20.2167	226.87629	0	26.9556	0	6.7389	0	0	0	13.4778
10344826_LMAN8_SD44_GTAGAA	1031.93963	2.05976	24.03053	219.70771	0	24.71712	0.68659	2.05976	0	0	0	6.17928
10343927_LMAD26_Sg1533_GGCTGC	945.03263	3.13964	48.1412	113.02716	0	32.44298	2.0931	1.04655	1.04655	0	0	6.27929
10344827_LMAN26_Sg1533_AACAAG	1221.83513	1.28479	64.23949	152.88999	0	10.27832	1.28479	5.13916	2.56958	0	0	3.85437
10343262_LMAN8_SG18_GCATGG	1338.01461	0	14.36794	122.12751	0	14.36794	1.79599	5.38798	0	0	0	3.59199
10344826_LMAD8_SG18_CGCCTG	850.07396	0	44.42895	116.99624	0	28.13834	1.48097	1.48097	2.96193	0	0	10.36676
10343264_LMAN26_T232_ATTGGT	1233.19812	1.65087	46.77458	140.32375	0	22.01157	4.40231	16.50868	0	0	0	19.81041
10343927_LMAD26_T232_CCTAAG	1008.47826	0.53642	64.90738	221.00694	0	34.33117	2.1457	8.04637	0	0	0	11.80134
